timestamp,location,zone,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category,health_impact_score,temperature,humidity,wind_speed
2025-09-23T12:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,60.4,139.9,56.2,13.4,0.71,25.3,252.0,Very Unhealthy,2,18.1,36.2,8.8
2025-09-23T13:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,64.7,143.0,59.1,21.9,1.02,34.1,270.0,Very Unhealthy,1,30.2,43.5,2.8
2025-09-23T14:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,76.5,174.3,82.4,27.0,1.25,13.5,319.0,Hazardous,1,18.7,80.5,5.4
2025-09-23T15:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,76.6,132.0,68.1,19.9,1.36,29.2,319.0,Hazardous,1,19.8,44.8,2.6
2025-09-23T16:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,50.3,130.1,65.1,20.1,1.09,13.8,210.0,Very Unhealthy,1,23.9,43.3,2.2
2025-09-23T17:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,65.8,164.3,93.4,23.2,1.45,26.3,274.0,Very Unhealthy,2,20.3,78.2,10.1
2025-09-23T18:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,83.0,177.5,99.0,19.3,1.54,26.1,346.0,Hazardous,1,27.4,41.0,11.3
2025-09-23T19:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,115.4,222.6,133.1,23.3,1.41,16.0,481.0,Hazardous,1,20.2,36.6,10.3
2025-09-23T20:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,86.8,168.6,77.8,15.7,0.95,33.5,362.0,Hazardous,1,19.5,49.5,4.1
2025-09-23T21:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,87.0,194.9,88.7,22.2,1.66,26.1,363.0,Hazardous,1,35.9,50.9,3.4
2025-09-23T22:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,75.1,130.6,44.6,17.2,0.83,29.7,313.0,Hazardous,1,24.8,82.1,6.2
2025-09-23T23:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,61.1,173.7,74.3,13.3,0.75,19.2,255.0,Very Unhealthy,1,23.3,83.8,7.3
2025-09-24T00:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,52.2,64.8,44.8,16.3,1.2,22.6,218.0,Very Unhealthy,1,31.4,73.1,5.1
2025-09-24T01:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,67.5,94.7,61.2,20.5,0.52,30.6,281.0,Very Unhealthy,1,35.2,51.3,4.9
2025-09-24T02:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,47.7,131.5,59.5,6.4,0.95,45.7,199.0,Unhealthy,2,20.3,81.2,13.4
2025-09-24T03:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,54.7,103.7,57.6,19.1,0.58,38.1,228.0,Very Unhealthy,2,29.2,79.1,4.5
2025-09-24T04:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,52.8,103.7,44.9,14.8,0.94,57.9,220.0,Very Unhealthy,2,20.0,68.2,2.1
2025-09-24T05:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,61.0,98.8,35.2,13.0,0.35,48.8,254.0,Very Unhealthy,1,21.6,53.3,11.7
2025-09-24T06:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,80.3,136.6,98.6,20.2,1.32,11.8,335.0,Hazardous,1,37.6,59.3,13.8
2025-09-24T07:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,101.6,171.6,100.4,24.2,1.35,10.0,424.0,Hazardous,1,29.4,73.4,2.6
2025-09-24T08:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,91.1,232.3,117.7,29.8,1.62,16.4,380.0,Hazardous,1,29.1,63.6,14.7
2025-09-24T09:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,60.2,142.0,72.7,12.9,0.66,13.3,251.0,Very Unhealthy,2,31.9,63.5,3.3
2025-09-24T10:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,83.8,159.2,84.3,22.2,0.83,41.8,349.0,Hazardous,1,23.9,75.5,12.5
2025-09-24T11:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,80.5,186.8,96.3,20.9,1.62,34.9,336.0,Hazardous,1,33.9,79.5,6.4
2025-09-24T12:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,68.1,131.1,69.9,15.7,0.48,34.4,284.0,Very Unhealthy,2,35.2,47.5,2.5
2025-09-24T13:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,44.5,146.0,63.8,19.1,0.97,36.9,186.0,Unhealthy,3,19.0,61.6,9.0
2025-09-24T14:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,53.6,162.6,72.7,21.7,0.89,26.6,223.0,Very Unhealthy,1,21.7,39.0,7.6
2025-09-24T15:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,59.8,157.8,81.0,21.3,1.79,29.4,249.0,Very Unhealthy,1,30.2,56.0,5.2
2025-09-24T16:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,63.6,170.9,69.5,14.3,0.62,30.0,265.0,Very Unhealthy,2,31.0,37.4,14.3
2025-09-24T17:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,97.0,221.3,117.9,26.4,1.65,19.5,404.0,Hazardous,1,36.9,78.4,10.3
2025-09-24T18:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,109.4,247.8,109.5,25.7,1.69,27.3,456.0,Hazardous,1,34.4,67.6,4.7
2025-09-24T19:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,77.3,160.1,88.3,20.2,1.63,11.1,322.0,Hazardous,1,25.7,69.1,6.4
2025-09-24T20:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,95.4,163.8,84.4,19.2,1.13,21.8,398.0,Hazardous,1,37.4,62.4,7.5
2025-09-24T21:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,88.0,163.6,73.0,17.0,1.41,30.8,367.0,Hazardous,1,29.2,46.9,10.8
2025-09-24T22:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,70.4,145.9,78.4,29.7,0.7,18.1,294.0,Very Unhealthy,1,25.8,35.5,13.8
2025-09-24T23:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,61.8,124.8,62.6,17.0,0.65,55.1,258.0,Very Unhealthy,1,30.0,62.7,4.8
2025-09-25T00:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,54.3,128.7,63.6,20.0,1.15,39.5,226.0,Very Unhealthy,1,20.0,39.2,11.1
2025-09-25T01:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,46.2,101.0,52.1,9.1,0.42,55.3,193.0,Unhealthy,2,27.6,53.9,11.2
2025-09-25T02:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,36.8,67.3,41.9,7.0,1.15,44.9,153.0,Unhealthy,3,20.4,67.5,11.7
2025-09-25T03:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,49.5,115.6,59.0,11.9,0.84,37.6,206.0,Very Unhealthy,1,23.1,69.8,3.0
2025-09-25T04:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,35.4,77.4,56.3,8.9,0.6,34.9,148.0,Unhealthy for Sensitive Groups,5,30.4,48.9,4.4
2025-09-25T05:20:14.411956,Delhi - Anand Vihar,Industrial,28.6469,77.3154,58.6,77.4,35.7,13.6,0.91,48.2,244.0,Very Unhealthy,1,20.7,38.8,14.2
